brand,model,ram_gb,ssd,processor_brand,processor_gnrtn,price_myr
HP,DA,8,0,Intel,7th,2365.39
DELL,Insprion,8,0,Intel,11th,1991.04
ASUS,VivoBook,8,0,Intel,10th,1583.52
ASUS,VivoBook,8,0,Intel,11th,1856.64
ASUS,VivoBook,4,0,Intel,10th,1631.52
DELL,Vostro,8,256,Intel,10th,1991.52
DELL,Inspiron,8,256,Intel,11th,2183.52
DELL,Inspiron,8,256,Intel,11th,2135.52
ASUS,VivoBook,8,256,Intel,11th,2010.72
DELL,Vostro,4,256,Intel,11th,2063.52
acer,Travelmate,8,256,Intel,11th,1967.52
DELL,Inspiron,8,256,Intel,11th,2351.52
DELL,Vostro,4,256,Intel,11th,2092.32
DELL,Inspiron,4,256,Intel,10th,2145.12
ASUS,ExpertBook,4,256,Intel,10th,1967.52
DELL,Vostro,4,256,Intel,11th,2111.52
DELL,Vostro,4,256,Intel,11th,2092.32
DELL,Vostro,4,256,Intel,10th,1986.72
DELL,Vostro,4,256,Intel,10th,2125.92
DELL,Inspiron,4,256,Intel,11th,2351.95
DELL,Vostro,4,256,Intel,11th,1919.52
acer,Swift,8,0,Intel,10th,4521.12
ASUS,ROG,8,0,Intel,10th,5096.02
DELL,XPS,8,0,Intel,10th,6719.52
HP,15s,8,0,Intel,10th,2687.52
HP,Omen,8,0,Intel,10th,4922.45
lenovo,Ideapad,8,0,Intel,10th,3503.52
Lenovo,Ideapad,8,0,Intel,10th,2255.52
MICROSOFT,Surface,8,128,Intel,10th,4809.12
Smartron,t.book,8,128,Intel,7th,2543.52
MICROSOFT,Surface,8,128,Intel,8th,4415.95
Smartron,t.book,4,128,Intel,7th,2543.52
HP,Pavilion,8,128,Intel,8th,3648.58
Lenovo,Ideapad,8,256,Intel,11th,2375.52
lenovo,Yoga,8,0,Intel,10th,4943.52
acer,Swift,8,256,Intel,7th,4169.62
LG,Gram,8,256,Intel,10th,3695.52
LG,Gram,8,256,Intel,11th,3695.52
ASUS,VivoBook,8,256,Intel,11th,2351.52
LG,Gram,8,256,Intel,10th,3023.52
DELL,Inspiron,8,256,Intel,11th,2687.52
acer,Swift,8,256,Intel,8th,3935.9
LG,Gram,8,256,Intel,11th,3695.52
HP,Spectre,8,256,Intel,8th,6556.32
acer,Swift,8,256,Intel,8th,2855.52
ASUS,VivoBook14,8,256,Intel,11th,2390.4
Lenovo,Ideapad,8,256,Intel,11th,2975.95
Lenovo,Ideapad,8,512,Intel,11th,2543.52
HP,Pavilion,16,512,Intel,11th,3263.52
ASUS,TUF,8,512,Intel,10th,2783.52
Lenovo,Ideapad,16,512,Intel,11th,2990.4
realme,Book(Slim),8,512,Intel,11th,2543.52
Lenovo,IdeaPad,8,512,Intel,11th,2495.52
Lenovo,IdeaPad,16,512,Intel,11th,2975.52
RedmiBook,Pro,8,512,Intel,11th,2351.52
ASUS,VivoBook,8,512,Intel,11th,3071.52
Lenovo,ThinkPad,8,512,Intel,11th,3167.52
Nokia,PureBook,8,512,Intel,10th,2303.52
acer,Aspire,8,512,Intel,11th,2543.52
Lenovo,IdeaPad,8,512,Intel,10th,2399.52
ASUS,ASUS,8,512,Intel,11th,3455.52
ASUS,VivoBook,8,512,Intel,10th,2303.52
Nokia,PureBook,8,512,Intel,10th,2207.52
Lenovo,IdeaPad,8,512,Intel,10th,2327.52
ASUS,ASUS,8,512,Intel,11th,3503.52
MSI,Katana,16,512,Intel,11th,3695.52
ASUS,TUF,16,512,Intel,11th,4319.52
MSI,GF63,8,512,Intel,10th,2879.52
ASUS,TUF,8,512,Intel,10th,3167.52
DELL,Inspiron,8,512,Intel,11th,3455.52
DELL,Inspiron,8,512,Intel,11th,3450.72
Lenovo,IdeaPad,16,512,Intel,11th,3119.52
ASUS,VivoBook,16,512,Intel,11th,3167.52
ASUS,VivoBook,16,512,Intel,11th,3527.52
HP,Pavilion,16,512,Intel,11th,3575.52
HP,Pavilion,8,512,Intel,11th,2800.32
acer,Aspire,8,512,Intel,11th,2687.95
DELL,Inspiron,16,512,Intel,11th,3263.52
ASUS,VivoBook,16,512,Intel,11th,2879.52
ASUS,TUF,16,512,Intel,11th,3983.52
DELL,Vostro,8,512,Intel,11th,3081.12
realme,Book(Slim),8,512,Intel,11th,2927.95
HP,Spectre,8,512,Intel,11th,4703.52
ASUS,VivoBook,8,512,Intel,9th,2639.52
Lenovo,Thinkbook,8,512,Intel,11th,2879.52
Lenovo,IdeaPad,8,512,Intel,11th,2591.52
HP,Pavilion,16,512,Intel,11th,3215.95
acer,Intel,8,512,Intel,11th,2927.52
DELL,G15,16,512,Intel,10th,3839.52
ASUS,TUF,8,512,Intel,10th,3071.52
HP,Pavilion,8,512,Intel,11th,3071.52
ASUS,VivoBook,16,512,Intel,11th,2879.52
Lenovo,IdeaPad,8,512,Intel,11th,2687.52
ASUS,VivoBook,16,512,Intel,11th,2879.52
HP,Pavilion,8,512,Intel,11th,3071.52
DELL,Vostro,16,512,Intel,11th,3335.52
DELL,Inspiron,16,512,Intel,11th,4290.72
ASUS,ZenBook,8,512,Intel,11th,3599.52
Lenovo,Thinkbook,8,512,Intel,11th,3119.52
Lenovo,Legion,8,512,Intel,10th,3191.52
DELL,Inspiron,16,512,Intel,11th,4305.7
Lenovo,Ideapad,16,512,Intel,11th,3407.52
Infinix,INBook,8,512,Intel,10th,2039.52
ASUS,VivoBook,16,512,Intel,11th,2831.52
Lenovo,Ideapad,8,512,Intel,10th,2760.0
DELL,Inspiron,8,512,Intel,11th,3839.52
MSI,Modern,8,512,Intel,10th,2713.97
Lenovo,ThinkBook,16,512,Intel,11th,3119.52
Lenovo,ThinkBook,8,512,Intel,11th,2879.52
ASUS,ASUS,8,512,Intel,11th,4079.52
HP,Pavilion,8,512,Intel,11th,3480.0
Lenovo,IdeaPad,8,512,Intel,11th,2879.52
Lenovo,Yoga,8,512,Intel,11th,4223.52
HP,14s,8,512,Intel,11th,2783.52
DELL,Inspiron,8,512,Intel,11th,3335.52
Lenovo,Thinkbook,8,512,Intel,11th,3311.52
ASUS,ZenBook,8,512,Intel,11th,5087.52
MSI,Prestige,8,512,Intel,11th,3839.52
DELL,Vostro,8,512,Intel,11th,2663.52
Lenovo,IdeaPad,8,512,Intel,11th,3359.52
ASUS,Zenbook,8,512,Intel,11th,4079.52
DELL,Inspiron,8,512,Intel,11th,2879.52
DELL,XPS,8,512,Intel,10th,5370.72
DELL,Inspiron,8,512,Intel,11th,3167.52
ASUS,Zenbook,8,512,Intel,11th,3503.52
DELL,Inspiron,8,512,Intel,11th,3412.32
MSI,Katana,8,512,Intel,11th,3599.52
ASUS,ZenBook,8,512,Intel,10th,3839.52
MSI,Modern,8,512,Intel,11th,2663.52
DELL,Vostro,8,512,Intel,11th,3191.52
ASUS,VivoBook,8,512,Intel,11th,2563.2
DELL,Inspiron,8,512,Intel,11th,3576.0
DELL,XPS,8,512,Intel,11th,5519.52
DELL,Vostro,8,512,Intel,11th,2975.52
APPLE,MacBook,8,512,Intel,10th,7679.52
APPLE,MacBook,8,512,Intel,8th,8260.32
MSI,Sword,8,512,Intel,11th,3599.52
MSI,Modern,8,512,Intel,10th,2711.52
Lenovo,ThinkPad,8,512,Intel,10th,7056.0
Lenovo,Ideapad,8,512,Intel,11th,2687.52
HP,Pavilion,8,512,Intel,11th,3743.52
HP,Envy,8,512,Intel,10th,5111.52
Lenovo,IdeaPad,8,512,Intel,11th,3407.52
Lenovo,ThinkPad,8,512,Intel,11th,3119.52
acer,Aspire,8,512,Intel,11th,2783.52
ASUS,TUF,8,512,Intel,10th,3119.52
MSI,Modern,8,512,Intel,10th,2639.52
Vaio,SE,8,512,Intel,8th,3018.72
HP,Spectre,8,512,Intel,11th,5375.95
Lenovo,Yoga,8,512,Intel,10th,3398.3
Lenovo,Legion,8,512,Intel,9th,2879.52
acer,ConceptD,8,512,Intel,8th,4776.0
HP,14s,8,512,Intel,10th,2687.52
ASUS,ZenBook,8,512,Intel,8th,3503.52
acer,Swift,8,512,Intel,8th,3119.52
HP,HP,8,512,Intel,11th,3695.52
Lenovo,Ideapad,8,512,Intel,11th,3023.9
DELL,Inspiron,8,512,Intel,11th,3743.52
HP,Spectre,8,512,Intel,10th,5519.52
DELL,DELL,8,512,Intel,10th,3167.52
DELL,Inspiron,8,512,Intel,11th,4271.52
Lenovo,X390,8,512,Intel,10th,5452.32
Mi,Notebook,8,512,Intel,10th,2639.52
ASUS,VivoBook,8,512,Intel,11th,3551.52
LG,Gram,8,512,Intel,11th,4175.52
ASUS,ZenBook,8,512,Intel,11th,4799.52
Lenovo,ThinkPad,8,512,Intel,11th,3263.52
DELL,Inspiron,8,512,Intel,11th,3398.35
Lenovo,ThinkPad,8,512,Intel,11th,3167.52
ASUS,VivoBook,8,512,Intel,8th,2577.12
MSI,Modern,8,512,Intel,11th,2687.52
ASUS,VivoBook,8,512,Intel,11th,2553.12
Lenovo,IdeaPad,8,512,Intel,10th,2831.95
DELL,Inspiron,8,512,Intel,11th,3455.52
ASUS,ZenBook,8,512,Intel,11th,4079.52
Lenovo,Thinpad,8,512,Intel,11th,4319.9
ASUS,ZenBook,8,512,Intel,11th,4799.52
ASUS,Zenbook,8,512,Intel,11th,4079.52
Lenovo,IdeaPad,8,512,Intel,10th,3355.15
DELL,Inpiron,8,512,Intel,10th,3839.52
DELL,GAMING,8,512,Intel,10th,3662.4
Lenovo,Ideapad,8,512,Intel,10th,2687.95
DELL,Inspiron,8,512,Intel,11th,3499.2
DELL,Inspiron,8,512,Intel,11th,3551.52
ASUS,ZenBook,8,512,Intel,11th,4079.52
HP,Spectre,8,512,Intel,10th,6048.0
lenovo,Yoga,8,0,Intel,10th,8255.9
ASUS,ASUS,8,512,Intel,11th,4271.52
HP,HP,8,512,Intel,11th,5519.95
DELL,Inspiron,8,512,Intel,11th,3983.52
acer,Intel,8,512,Intel,11th,5279.95
Lenovo,Yoga,8,512,Intel,11th,3983.52
DELL,Inspiron,8,512,Intel,11th,3839.52
ASUS,ZenBook,8,512,Intel,11th,5519.52
HP,Spectre,8,512,Intel,11th,6239.95
MSI,GS,8,512,Intel,8th,7199.52
DELL,Inspiron,8,512,Intel,11th,3421.92
DELL,Inspiron,8,512,Intel,10th,3816.0
DELL,Inspiron,8,512,Intel,10th,3983.52
DELL,Inspiron,8,512,Intel,11th,3407.04
ASUS,ZenBook,8,512,Intel,11th,4799.52
HP,430,8,512,Intel,11th,4512.0
MSI,Prestige,8,512,Intel,11th,3839.52
ASUS,Pro,8,512,Intel,8th,4127.52
ASUS,ExpertBook,8,512,Intel,10th,4175.52
ASUS,ZenBook,8,512,Intel,10th,5087.52
ASUS,ExpertBook,8,512,Intel,10th,4079.52
Lenovo,Ideapad,8,512,Intel,8th,2879.95
Lenovo,Yoga,8,512,Intel,11th,4415.95
DELL,Inspiron,8,512,Intel,11th,3787.2
ASUS,ExpertBook,8,512,Intel,10th,6373.92
Nokia,PureBook,16,512,Intel,11th,2687.52
Lenovo,IdeaPad,8,512,Intel,11th,2927.52
Avita,Liber,8,512,Intel,7th,3146.69
DELL,Inspiron,16,512,Intel,11th,3369.12
Avita,Liber,8,512,Intel,7th,3146.69
ASUS,TUF,8,512,Intel,11th,3695.52
Nokia,PureBook,8,512,Intel,11th,2533.92
Avita,Liber,8,512,Intel,7th,3146.69
Avita,Liber,8,512,Intel,8th,2159.52
ASUS,Intel,8,512,Intel,11th,4079.52
Lenovo,Ideapad,8,512,Intel,10th,4175.95
HP,Pavilion,16,512,Intel,11th,3744.0
Avita,Liber,8,512,Intel,8th,3507.02
Avita,Liber,8,512,Intel,8th,3507.02
HP,HP,16,512,Intel,11th,4847.52
Lenovo,Ideapad,8,512,Intel,8th,3599.52
ASUS,ROG,8,512,Intel,10th,3647.52
ASUS,ASUS,8,1024,Intel,11th,3647.52
ASUS,TUF,8,1024,Intel,11th,3743.52
ASUS,ROG,8,1024,Intel,10th,3743.52
APPLE,MacBook,16,1024,Intel,10th,8639.52
APPLE,MacBook,16,1024,Intel,10th,8639.52
ASUS,ROG,8,1024,Intel,10th,3983.52
ASUS,TUF,8,1024,Intel,11th,4223.52
ASUS,F17,8,1024,Intel,11th,4056.0
DELL,Inspiron,8,1024,Intel,11th,3561.12
Lenovo,ThinkBook,8,1024,Intel,11th,3119.52
Lenovo,ThinkPad,8,512,Intel,10th,7459.73
Lenovo,ThinkPad,8,512,Intel,10th,6018.91
acer,Aspire,8,0,Intel,11th,2399.52
acer,Aspire,8,0,Intel,11th,2255.52
DELL,Vostro,8,0,Intel,11th,2351.52
acer,Aspire,8,0,Intel,8th,2879.95
ASUS,VivoBook,8,0,Intel,10th,2255.52
MSI,GF63,8,0,Intel,10th,2543.52
Lenovo,B50-70,8,0,Intel,4th,2519.52
Lenovo,Ideapad,8,0,Intel,8th,2735.52
acer,Aspire,8,0,Intel,8th,2975.52
ASUS,ExpertBook,8,0,Intel,10th,2735.52
acer,Aspire,8,0,Intel,8th,2956.66
ASUS,Pro,8,0,Intel,8th,3935.52
ASUS,ExpertBook,8,0,Intel,10th,2939.95
ASUS,ExpertBook,8,0,Intel,10th,4031.52
MSI,GE76,8,0,Intel,10th,13977.12
MSI,GP65,8,0,Intel,10th,7007.52
MSI,GP76,8,0,Intel,10th,8639.52
HP,Pavilion,8,0,Intel,8th,3119.52
HP,15q,8,0,Intel,8th,2245.92
acer,Swift,8,0,Intel,8th,3502.27
HP,250,8,0,Intel,10th,2341.92
acer,Aspire,8,0,Intel,10th,2711.57
ASUS,VivoBook,8,256,Intel,11th,2447.52
ASUS,VivoBook,8,256,Intel,10th,2687.52
acer,Aspire,8,256,Intel,11th,2783.52
ASUS,VivoBook,8,256,Intel,11th,2543.52
DELL,Inspiron,8,256,Intel,11th,2783.52
acer,Aspire,8,256,Intel,11th,2735.52
acer,Travelmate,8,256,Intel,11th,2663.52
DELL,Inspiron,8,256,Intel,11th,2999.52
ASUS,VivoBook,16,256,Intel,11th,3119.52
Lenovo,Ideapad,8,256,Intel,11th,2879.52
ASUS,VivoBook,8,256,Intel,11th,2889.12
ASUS,VivoBook,8,256,Intel,9th,2615.52
Lenovo,Legion,8,256,Intel,9th,2927.52
DELL,Inspiron,4,256,Intel,11th,2677.92
ASUS,VivoBook,16,256,Intel,11th,3119.52
DELL,Vostro,8,256,Intel,11th,2639.52
HP,Pavilion,8,256,Intel,11th,3455.52
DELL,3511,8,256,Intel,11th,3355.2
Lenovo,Ideapad,8,256,Intel,11th,3167.52
ASUS,VivoBook,8,256,Intel,11th,2399.52
DELL,Vostro,8,256,Intel,11th,2831.52
Lenovo,IdeaPad,8,256,Intel,10th,3580.32
ASUS,VivoBook,8,256,Intel,11th,3119.52
DELL,Inspiron,8,256,Intel,11th,3191.52
DELL,G3,8,256,Intel,10th,3739.2
DELL,Inspiron,8,256,Intel,11th,3239.52
DELL,Vostro,8,256,Intel,11th,2975.52
DELL,Inspiron,8,256,Intel,11th,2831.52
Lenovo,IdeaPad,8,256,Intel,10th,3599.95
ASUS,VivoBook,8,256,Intel,11th,3307.2
DELL,Inspiron,8,256,Intel,11th,3441.36
acer,Travelmate,16,256,Intel,11th,2999.52
DELL,Inspiron,8,0,Intel,8th,2991.22
MSI,GS66,8,0,Intel,10th,9949.92
DELL,Inspiron,16,256,Intel,8th,4223.52
Avita,Liber,8,256,Intel,8th,3551.52
Avita,Liber,8,256,Intel,8th,3551.52
Avita,Liber,8,256,Intel,8th,3551.52
Avita,Liber,8,256,Intel,8th,3551.52
Avita,Liber,8,256,Intel,8th,3551.52
Avita,Liber,8,256,Intel,8th,3551.52
ASUS,VivoBook,16,512,Intel,10th,2783.52
