brand,model,ram_gb,ssd,processor_brand,processor_gnrtn,price_myr
APPLE,MacBook,16,512,M1,10th,7199.52
APPLE,MacBook,8,512,M1,10th,6047.52
APPLE,MacBook,8,512,M1,10th,4991.52
APPLE,MacBook,8,512,M1,10th,4895.52
APPLE,MacBook,8,512,M1,10th,5039.52
APPLE,MacBook,8,512,M1,10th,6335.52
APPLE,MacBook,16,512,M1,10th,6191.52
APPLE,MacBook,16,512,M1,10th,8879.52
APPLE,MacBook,16,512,M1,10th,10847.52
APPLE,MacBook,4,512,M1,10th,5999.52
APPLE,MacBook,8,512,M1,10th,5039.52
APPLE,MacBook,8,1024,M1,10th,7199.52
APPLE,MacBook,16,1024,M1,10th,8159.52
APPLE,MacBook,16,1024,M1,10th,10847.52
APPLE,MacBook,16,1024,M1,10th,11711.52
APPLE,MacBook,32,1024,M1,10th,14879.52
APPLE,MacBook,16,1024,M1,10th,10847.52
DELL,G7,8,0,Intel,10th,8639.52
acer,Predator,4,0,Intel,10th,6239.95
Lenovo,Legion,4,0,Intel,10th,3738.72
HP,Chromebook,4,0,MediaTek,10th,1103.52
HP,Chromebook,4,0,MediaTek,10th,1079.52
HP,Chromebook,4,0,MediaTek,10th,1103.52
ASUS,APU,4,0,AMD,10th,959.52
Lenovo,Thinkpad,8,512,AMD,10th,2759.52
